song1;song2;similarity
Noite Puxa Noite;Digressão;0.8465
Febres Altas;Para Ti;0.8460
Taberna Transmontana;A Tuna;0.8457
A Tuna;Hino Do Lagoa Azul;0.8453
Febres Altas;Lua Feiticeira;0.8450
Febres Altas;A Aventura Começou;0.8448
Secreto Desejo;Fraldiqueiros De Mindelo;0.8446
Carpe Diem;Lua Feiticeira;0.8446
Vida De Caloiro;RaussETunas;0.8445
Zé Fadista;Coração De Estudante;0.8444
Fim De Semana;Secreto Desejo;0.8442
Carta Sem Endereço;Zé Fadista;0.8435
Carpe Diem;Para Ti;0.8432
Hino Do Lagoa Azul;Digressão;0.8431
Azevinho;Digressão;0.8430
Embuste Das Cidras;O Meu Curso;0.8420
A Tuna;Azevinho;0.8406
Fraldiqueiros De Mindelo;Serenata Menina;0.8403
Secreto Desejo;Azevinho;0.8400
O Meu Curso;Azevinho;0.8398
Sempre Bragança;RaussETunas;0.8397
Lágrima;Lua Feiticeira;0.8390
Hino Do Lagoa Azul;Promessa De Estudante;0.8387
Hino Do Caloiro;A Aventura Começou;0.8379
Taberna Transmontana;Lado A Lado;0.8376
Fim De Semana;Fraldiqueiros De Mindelo;0.8374
Embuste Das Cidras;Vida De Caloiro;0.8370
O Meu Curso;RaussETunas;0.8367
A Tuna;Fraldiqueiros De Mindelo;0.8367
Hino Do Lagoa Azul;Coração De Estudante;0.8367
Zé Fadista;Promessa De Estudante;0.8366
Lágrima;Azevinho;0.8357
Carta Sem Endereço;Digressão;0.8355
Lua Feiticeira;Sapo Estudante;0.8352
Noite Puxa Noite;Para Ti;0.8347
A Tuna;RaussETunas;0.8334
O Meu Curso;Zé Fadista;0.8331
Sapo Estudante;Zé Fadista;0.8330
Embuste Das Cidras;Fraldiqueiros De Mindelo;0.8326
O Meu Curso;Vamos Ao Festival;0.8322
O Meu Curso;Digressão;0.8318
Promessa De Estudante;Para Ti;0.8307
Carpe Diem;Fraldiqueiros De Mindelo;0.8301
Embuste Das Cidras;Febres Altas;0.8301
Promessa De Estudante;Vamos Ao Festival;0.8299
Embuste Das Cidras;Serenata Menina;0.8284
Febres Altas;Rauss, Quero Voltar;0.8283
Lágrima;Digressão;0.8281
Zé Fadista;Lado A Lado;0.8270
Lua Feiticeira;Para Ti;0.8269
Taberna Transmontana;Coração De Estudante;0.8266
Hino Da RaussTuna;Para Ti;0.8265
A Aventura Começou;Zé Fadista;0.8259
Lua Feiticeira;Zé Fadista;0.8258
Embuste Das Cidras;Tempo;0.8254
Sempre Bragança;Promessa De Estudante;0.8248
Vamos Ao Festival;Hino Da RaussTuna;0.8247
Hino Do Caloiro;Vida De Caloiro;0.8244
Sempre Bragança;Hino Do Lagoa Azul;0.8232
Vida De Caloiro;Fraldiqueiros De Mindelo;0.8232
Febres Altas;Fraldiqueiros De Mindelo;0.8227
Taberna Transmontana;Para Ti;0.8218
Carpe Diem;RaussETunas;0.8216
Embuste Das Cidras;Hino Da RaussTuna;0.8211
Sapo Estudante;RaussETunas;0.8204
Febres Altas;Secreto Desejo;0.8200
Vida De Caloiro;Vamos Ao Festival;0.8195
Taberna Transmontana;Hino Da RaussTuna;0.8185
Febres Altas;Sempre Bragança;0.8181
Embuste Das Cidras;A Tuna;0.8180
Fim De Semana;RaussETunas;0.8176
Sempre Bragança;Noite Puxa Noite;0.8175
RaussETunas;Lado A Lado;0.8156
Zé Fadista;Hino Do Lagoa Azul;0.8151
Secreto Desejo;Zé Fadista;0.8147
O Meu Curso;Hino Do Lagoa Azul;0.8139
RaussETunas;Digressão;0.8137
Sempre Bragança;Digressão;0.8135
Rauss, Quero Voltar;Para Ti;0.8122
Sempre Bragança;Lua Feiticeira;0.8118
Taberna Transmontana;Carpe Diem;0.8112
Embuste Das Cidras;Hino Do Lagoa Azul;0.8111
Secreto Desejo;Digressão;0.8106
Fraldiqueiros De Mindelo;Vamos Ao Festival;0.8104
Taberna Transmontana;Lua Feiticeira;0.8103
Carpe Diem;Vamos Ao Festival;0.8100
Lágrima;RaussETunas;0.8099
RaussETunas;Rauss, Quero Voltar;0.8090
Embuste Das Cidras;Carpe Diem;0.8089
RaussETunas;Serenata Menina;0.8087
Embuste Das Cidras;Digressão;0.8086
Embuste Das Cidras;Azevinho;0.8081
Taberna Transmontana;Fraldiqueiros De Mindelo;0.8078
Secreto Desejo;Hino Do Lagoa Azul;0.8068
Noite Puxa Noite;Vamos Ao Festival;0.8064
Embuste Das Cidras;Secreto Desejo;0.8062
Rauss, Quero Voltar;Fraldiqueiros De Mindelo;0.8057
Fim De Semana;Zé Fadista;0.8030
Sempre Bragança;Zé Fadista;0.8028
Vida De Caloiro;Para Ti;0.8025
RaussETunas;Vamos Ao Festival;0.8025
Fraldiqueiros De Mindelo;Lado A Lado;0.8022
Fraldiqueiros De Mindelo;Hino Da RaussTuna;0.8020
A Aventura Começou;Para Ti;0.8015
Carta Sem Endereço;Vamos Ao Festival;0.8004
Embuste Das Cidras;Vamos Ao Festival;0.7995
Sempre Bragança;Para Ti;0.7989
Embuste Das Cidras;Coração De Estudante;0.7989
Tempo;Fraldiqueiros De Mindelo;0.7988
Fraldiqueiros De Mindelo;Para Ti;0.7984
Carta Sem Endereço;RaussETunas;0.7983
A Aventura Começou;RaussETunas;0.7980
Febres Altas;Digressão;0.7977
Para Ti;Digressão;0.7974
Lua Feiticeira;Digressão;0.7968
Taberna Transmontana;Sempre Bragança;0.7965
RaussETunas;Coração De Estudante;0.7951
Fim De Semana;Para Ti;0.7936
Lua Feiticeira;Noite Puxa Noite;0.7930
RaussETunas;Para Ti;0.7920
Hino Do Lagoa Azul;Vamos Ao Festival;0.7919
Carta Sem Endereço;Lua Feiticeira;0.7917
Zé Fadista;Rauss, Quero Voltar;0.7913
Vida De Caloiro;Zé Fadista;0.7908
Zé Fadista;Hino Da RaussTuna;0.7897
Vamos Ao Festival;Lado A Lado;0.7890
Sempre Bragança;Fraldiqueiros De Mindelo;0.7886
RaussETunas;Promessa De Estudante;0.7863
RaussETunas;Azevinho;0.7858
Hino Do Lagoa Azul;Para Ti;0.7856
Embuste Das Cidras;Lado A Lado;0.7830
Noite Puxa Noite;RaussETunas;0.7817
Embuste Das Cidras;Para Ti;0.7814
Lua Feiticeira;Rauss, Quero Voltar;0.7804
Vida De Caloiro;Lua Feiticeira;0.7804
Fraldiqueiros De Mindelo;Digressão;0.7773
Carpe Diem;Zé Fadista;0.7772
RaussETunas;Hino Do Lagoa Azul;0.7772
Fraldiqueiros De Mindelo;Azevinho;0.7747
Tempo;RaussETunas;0.7732
Zé Fadista;Digressão;0.7730
Sempre Bragança;Vamos Ao Festival;0.7727
Vamos Ao Festival;Serenata Menina;0.7705
Taberna Transmontana;Vamos Ao Festival;0.7700
A Tuna;Vamos Ao Festival;0.7681
