song1; song2; similarity
Sempre Bragança; Coração de Estudante; 0.7377
Tempo; Zé Fadista; 0.7371
Lua Feiticeira; Promessa de Estudante; 0.7352
A Tuna!; Vida De Caloiro; 0.7350
Noite Puxa Noite; Digressão; 0.7349
Hino Do Caloiro; Fraldiqueiros de Mindelo; 0.7341
Rauss, Quero Voltar; Coração de Estudante; 0.7338
A Aventura Começou; Lado a Lado; 0.7335
Vida De Caloiro; Vamos Ao Festival; 0.7326
A Aventura Começou; Azevinho; 0.7325
Fim De Semana; O Meu Curso; 0.7324
Sempre Bragança; Rauss, Quero Voltar; 0.7323
O Meu Curso; Hino da RaussTuna; 0.7322
Hino Do Caloiro; Vida De Caloiro; 0.7319
Zé Fadista; Para Ti; 0.7307
A Tuna!; Carta Sem Endereço; 0.7303
Hino Do Lagoa Azul; Vamos Ao Festival; 0.7302
Taberna Transmontana; Fraldiqueiros de Mindelo; 0.7287
A Aventura Começou; Coração de Estudante; 0.7285
Sempre Bragança; Zé Fadista; 0.7282
Zé Fadista; Hino da RaussTuna; 0.7279
A Aventura Começou; Hino Do Lagoa Azul; 0.7274
Sempre Bragança; Hino da RaussTuna; 0.7273
Sempre Bragança; Para Ti; 0.7267
Rauss, Quero Voltar; Fraldiqueiros de Mindelo; 0.7257
Vamos Ao Festival; Hino da RaussTuna; 0.7257
A Tuna!; Sempre Bragança; 0.7234
Zé Fadista; Lado a Lado; 0.7226
Lágrima; Azevinho; 0.7217
Embuste Das Cidras; Hino da RaussTuna; 0.7215
Febres Altas; A Aventura Começou; 0.7199
Embuste Das Cidras; Vida De Caloiro; 0.7174
Azevinho; Digressão; 0.7171
Lágrima; Vamos Ao Festival; 0.7159
A Tuna!; Hino Do Lagoa Azul; 0.7148
Carta Sem Endereço; Vamos Ao Festival; 0.7144
Carta Sem Endereço; Azevinho; 0.7141
Embuste Das Cidras; Lua Feiticeira; 0.7135
Vamos Ao Festival; Para Ti; 0.7119
O Meu Curso; Digressão; 0.7119
Embuste Das Cidras; Vamos Ao Festival; 0.7119
Sempre Bragança; Lado a Lado; 0.7117
Carta Sem Endereço; Coração de Estudante; 0.7116
Zé Fadista; Promessa de Estudante; 0.7112
A Aventura Começou; Lua Feiticeira; 0.7111
Carta Sem Endereço; Fraldiqueiros de Mindelo; 0.7100
Febres Altas; Carta Sem Endereço; 0.7096
Hino Do Caloiro; Vamos Ao Festival; 0.7087
Hino Do Caloiro; Coração de Estudante; 0.7066
Rauss, Quero Voltar; Azevinho; 0.7057
Sempre Bragança; Fraldiqueiros de Mindelo; 0.7056
Carpe Diem; Zé Fadista; 0.7039
Fraldiqueiros de Mindelo; Hino Do Lagoa Azul; 0.7037
A Aventura Começou; Zé Fadista; 0.7036
Fim De Semana; Azevinho; 0.7031
Taberna Transmontana; Vamos Ao Festival; 0.7024
Hino Do Caloiro; O Meu Curso; 0.7024
Hino Do Caloiro; Carpe Diem; 0.7013
Febres Altas; Digressão; 0.7002
Secreto Desejo; Vamos Ao Festival; 0.6966
Fim De Semana; Secreto Desejo; 0.6952
Coração de Estudante; Digressão; 0.6950
Fraldiqueiros de Mindelo; Digressão; 0.6948
A Tuna!; Hino Do Caloiro; 0.6945
Hino Do Caloiro; Azevinho; 0.6944
Secreto Desejo; Digressão; 0.6937
Vida De Caloiro; Carta Sem Endereço; 0.6915
Vida De Caloiro; Zé Fadista; 0.6908
Vamos Ao Festival; Coração de Estudante; 0.6905
Lua Feiticeira; Digressão; 0.6902
Embuste Das Cidras; Coração de Estudante; 0.6901
Lua Feiticeira; Rauss, Quero Voltar; 0.6897
Embuste Das Cidras; Sempre Bragança; 0.6892
Hino Do Caloiro; Sapo Estudante; 0.6889
Sempre Bragança; Noite Puxa Noite; 0.6865
Febres Altas; Fim De Semana; 0.6851
Febres Altas; Rauss, Quero Voltar; 0.6845
Hino Do Caloiro; Hino da RaussTuna; 0.6844
Carta Sem Endereço; Hino da RaussTuna; 0.6836
Tempo; Vamos Ao Festival; 0.6833
Hino Do Caloiro; Lua Feiticeira; 0.6804
