song1; song2; similarity
O Meu Curso; Para Ti; 0.8350
Noite Puxa Noite; Lado a Lado; 0.8349
Febres Altas; O Meu Curso; 0.8346
Febres Altas; Zé Fadista; 0.8344
Febres Altas; Hino da RaussTuna; 0.8340
Sapo Estudante; Digressão; 0.8340
Embuste Das Cidras; Fim De Semana; 0.8340
A Tuna!; Noite Puxa Noite; 0.8338
Secreto Desejo; Sapo Estudante; 0.8331
Fim De Semana; Vamos Ao Festival; 0.8324
Azevinho; Promessa de Estudante; 0.8324
Promessa de Estudante; Hino da RaussTuna; 0.8314
Sempre Bragança; Carpe Diem; 0.8310
Vida De Caloiro; Azevinho; 0.8309
Sempre Bragança; Azevinho; 0.8302
Para Ti; Lado a Lado; 0.8302
Zé Fadista; Serenata Menina; 0.8300
Febres Altas; Fim De Semana; 0.8300
Carpe Diem; A Aventura Começou; 0.8300
A Tuna!; A Aventura Começou; 0.8299
Sempre Bragança; Carta Sem Endereço; 0.8293
Tempo; Noite Puxa Noite; 0.8292
Taberna Transmontana; Zé Fadista; 0.8291
A Tuna!; Fim De Semana; 0.8288
Sempre Bragança; Lado a Lado; 0.8286
Sempre Bragança; Rauss, Quero Voltar; 0.8271
Carta Sem Endereço; Fraldiqueiros de Mindelo; 0.8270
Noite Puxa Noite; Fraldiqueiros de Mindelo; 0.8270
Lua Feiticeira; Hino da RaussTuna; 0.8269
Febres Altas; Vida De Caloiro; 0.8268
Febres Altas; Coração de Estudante; 0.8264
Tempo; O Meu Curso; 0.8263
Embuste Das Cidras; Taberna Transmontana; 0.8259
Fim De Semana; Coração de Estudante; 0.8258
Tempo; Lua Feiticeira; 0.8253
Sapo Estudante; Vamos Ao Festival; 0.8248
Vida De Caloiro; Noite Puxa Noite; 0.8248
Tempo; Digressão; 0.8246
Sempre Bragança; Fim De Semana; 0.8246
Febres Altas; Azevinho; 0.8245
Azevinho; Lado a Lado; 0.8244
Lágrima; Lua Feiticeira; 0.8240
Sempre Bragança; Secreto Desejo; 0.8237
Coração de Estudante; Digressão; 0.8237
Febres Altas; Lado a Lado; 0.8237
Rauss, Quero Voltar; Azevinho; 0.8236
Sempre Bragança; Serenata Menina; 0.8234
