song1; song2; similarity
Embuste Das Cidras; Febres Altas; 0.5623
Hino Do Lagoa Azul; Coração de Estudante; 0.5623
Lua Feiticeira; Noite Puxa Noite; 0.5620
Vida De Caloiro; Hino Do Lagoa Azul; 0.5617
Lágrima; Digressão; 0.5605
Sempre Bragança; A Aventura Começou; 0.5604
Sapo Estudante; Vamos Ao Festival; 0.5602
Sempre Bragança; Hino da RaussTuna; 0.5591
A Tuna!; Sapo Estudante; 0.5590
Lua Feiticeira; Rauss, Quero Voltar; 0.5586
Vida De Caloiro; Lado a Lado; 0.5563
Fraldiqueiros de Mindelo; Lado a Lado; 0.5562
Embuste Das Cidras; Hino Do Lagoa Azul; 0.5556
Febres Altas; Vida De Caloiro; 0.5551
Carta Sem Endereço; Zé Fadista; 0.5547
Febres Altas; Carpe Diem; 0.5533
Noite Puxa Noite; Hino da RaussTuna; 0.5532
Noite Puxa Noite; Digressão; 0.5528
Vamos Ao Festival; Hino da RaussTuna; 0.5520
Lágrima; A Aventura Começou; 0.5516
Zé Fadista; Para Ti; 0.5515
Vida De Caloiro; Noite Puxa Noite; 0.5494
Sapo Estudante; Fraldiqueiros de Mindelo; 0.5492
A Aventura Começou; Vamos Ao Festival; 0.5479
Lágrima; Zé Fadista; 0.5477
Zé Fadista; Hino da RaussTuna; 0.5477
Embuste Das Cidras; Rauss, Quero Voltar; 0.5473
Carta Sem Endereço; Digressão; 0.5471
Lágrima; Fraldiqueiros de Mindelo; 0.5468
Febres Altas; Carta Sem Endereço; 0.5466
O Meu Curso; Fraldiqueiros de Mindelo; 0.5464
A Tuna!; Hino Do Lagoa Azul; 0.5456
Lágrima; Azevinho; 0.5447
Carta Sem Endereço; Fraldiqueiros de Mindelo; 0.5423
Zé Fadista; Hino Do Lagoa Azul; 0.5420
Promessa de Estudante; Para Ti; 0.5411
Lua Feiticeira; O Meu Curso; 0.5409
Carpe Diem; Vamos Ao Festival; 0.5404
Fim De Semana; Secreto Desejo; 0.5400
A Tuna!; A Aventura Começou; 0.5396
Febres Altas; O Meu Curso; 0.5393
A Tuna!; Vida De Caloiro; 0.5389
Sempre Bragança; Secreto Desejo; 0.5386
Azevinho; Digressão; 0.5382
Embuste Das Cidras; Lado a Lado; 0.5372
Vida De Caloiro; Lua Feiticeira; 0.5369
Carpe Diem; A Aventura Começou; 0.5356
Taberna Transmontana; Fraldiqueiros de Mindelo; 0.5344
Sempre Bragança; Coração de Estudante; 0.5344
Coração de Estudante; Digressão; 0.5327
A Aventura Começou; Secreto Desejo; 0.5327
Embuste Das Cidras; Serenata Menina; 0.5324
O Meu Curso; Azevinho; 0.5319
Vamos Ao Festival; Lado a Lado; 0.5311
Sempre Bragança; Azevinho; 0.5311
Sempre Bragança; O Meu Curso; 0.5302
Rauss, Quero Voltar; Para Ti; 0.5267
Lua Feiticeira; Promessa de Estudante; 0.5260
Sapo Estudante; Para Ti; 0.5259
Para Ti; Digressão; 0.5259
A Tuna!; Noite Puxa Noite; 0.5255
Vida De Caloiro; Fraldiqueiros de Mindelo; 0.5231
A Aventura Começou; Lado a Lado; 0.5230
Embuste Das Cidras; Lágrima; 0.5225
Sempre Bragança; Carpe Diem; 0.5218
Embuste Das Cidras; Tempo; 0.5201
O Meu Curso; Digressão; 0.5201
A Tuna!; Digressão; 0.5198
Embuste Das Cidras; Digressão; 0.5191
O Meu Curso; Vamos Ao Festival; 0.5186
Sempre Bragança; Lua Feiticeira; 0.5182
Sempre Bragança; Carta Sem Endereço; 0.5181
O Meu Curso; Hino Do Lagoa Azul; 0.5181
Zé Fadista; Fraldiqueiros de Mindelo; 0.5170
Carpe Diem; Fraldiqueiros de Mindelo; 0.5162
Vamos Ao Festival; Serenata Menina; 0.5149
A Tuna!; Fraldiqueiros de Mindelo; 0.5137
Embuste Das Cidras; Hino da RaussTuna; 0.5124
Embuste Das Cidras; O Meu Curso; 0.5119
Febres Altas; Digressão; 0.5117
Fraldiqueiros de Mindelo; Vamos Ao Festival; 0.5114
Fraldiqueiros de Mindelo; Hino da RaussTuna; 0.5108
Sempre Bragança; Serenata Menina; 0.5091
Carta Sem Endereço; Vamos Ao Festival; 0.5081
Secreto Desejo; Digressão; 0.5063
Fraldiqueiros de Mindelo; Azevinho; 0.5059
Febres Altas; Rauss, Quero Voltar; 0.5049
Vida De Caloiro; Para Ti; 0.5037
Febres Altas; Fim De Semana; 0.5016
A Aventura Começou; Azevinho; 0.5016
A Tuna!; Sempre Bragança; 0.4996
Zé Fadista; Rauss, Quero Voltar; 0.4995
Sempre Bragança; Rauss, Quero Voltar; 0.4990
Fraldiqueiros de Mindelo; Digressão; 0.4990
A Aventura Começou; Hino Do Lagoa Azul; 0.4977
A Aventura Começou; Coração de Estudante; 0.4975
Vida De Caloiro; Vamos Ao Festival; 0.4971
Hino Do Caloiro; Hino da RaussTuna; 0.4962
Hino Do Lagoa Azul; Para Ti; 0.4947
Fim De Semana; Coração de Estudante; 0.4943
Febres Altas; A Aventura Começou; 0.4938
Hino Do Lagoa Azul; Vamos Ao Festival; 0.4928
Embuste Das Cidras; Zé Fadista; 0.4925
Zé Fadista; Digressão; 0.4918
A Tuna!; Fim De Semana; 0.4903
Hino Do Caloiro; Fraldiqueiros de Mindelo; 0.4898
Sempre Bragança; Lado a Lado; 0.4886
Hino Do Caloiro; O Meu Curso; 0.4882
Noite Puxa Noite; Vamos Ao Festival; 0.4879
Lágrima; Sempre Bragança; 0.4871
Noite Puxa Noite; Para Ti; 0.4870
Embuste Das Cidras; Carpe Diem; 0.4868
Embuste Das Cidras; Fraldiqueiros de Mindelo; 0.4864
A Aventura Começou; Zé Fadista; 0.4856
Embuste Das Cidras; Vamos Ao Festival; 0.4854
Embuste Das Cidras; Secreto Desejo; 0.4841
Vida De Caloiro; Zé Fadista; 0.4832
Fraldiqueiros de Mindelo; Para Ti; 0.4821
A Aventura Começou; Fraldiqueiros de Mindelo; 0.4818
Rauss, Quero Voltar; Fraldiqueiros de Mindelo; 0.4808
Taberna Transmontana; Vamos Ao Festival; 0.4808
Fraldiqueiros de Mindelo; Hino Do Lagoa Azul; 0.4793
A Aventura Começou; Lua Feiticeira; 0.4771
Embuste Das Cidras; A Aventura Começou; 0.4760
Fim De Semana; Para Ti; 0.4715
Sempre Bragança; Tempo; 0.4702
Hino Do Caloiro; Sapo Estudante; 0.4700
Tempo; Fraldiqueiros de Mindelo; 0.4699
Azevinho; Para Ti; 0.4673
Hino Do Caloiro; Rauss, Quero Voltar; 0.4665
A Aventura Começou; Para Ti; 0.4656
Embuste Das Cidras; Coração de Estudante; 0.4649
A Tuna!; Vamos Ao Festival; 0.4646
Carpe Diem; Zé Fadista; 0.4642
Tempo; Vamos Ao Festival; 0.4641
Embuste Das Cidras; Lua Feiticeira; 0.4613
Hino Do Caloiro; Promessa de Estudante; 0.4594
Sempre Bragança; Hino Do Lagoa Azul; 0.4560
Azevinho; Vamos Ao Festival; 0.4545
Sempre Bragança; Sapo Estudante; 0.4533
Embuste Das Cidras; Vida De Caloiro; 0.4514
Fim De Semana; Lua Feiticeira; 0.4512
Sempre Bragança; Fim De Semana; 0.4502
Lágrima; Vamos Ao Festival; 0.4487
Fim De Semana; Zé Fadista; 0.4486
Vamos Ao Festival; Coração de Estudante; 0.4466
Fim De Semana; Fraldiqueiros de Mindelo; 0.4463
Hino Do Caloiro; Carta Sem Endereço; 0.4431
Sempre Bragança; Zé Fadista; 0.4430
Hino Do Caloiro; Coração de Estudante; 0.4421
Sempre Bragança; Promessa de Estudante; 0.4406
Embuste Das Cidras; A Tuna!; 0.4386
Hino Do Caloiro; Vamos Ao Festival; 0.4376
Taberna Transmontana; Sempre Bragança; 0.4368
Sempre Bragança; Para Ti; 0.4350
Secreto Desejo; Vamos Ao Festival; 0.4347
Febres Altas; Sempre Bragança; 0.4323
Hino Do Caloiro; Digressão; 0.4261
Lua Feiticeira; Vamos Ao Festival; 0.4250
A Tuna!; Hino Do Caloiro; 0.4240
Hino Do Caloiro; Fim De Semana; 0.4236
Hino Do Caloiro; Serenata Menina; 0.4196
Sempre Bragança; Digressão; 0.4194
Hino Do Caloiro; Lua Feiticeira; 0.4173
Rauss&Tuna'S; Hino da RaussTuna; 0.4166
Embuste Das Cidras; Para Ti; 0.4146
Hino Do Caloiro; Carpe Diem; 0.4144
O Meu Curso; Rauss&Tuna'S; 0.4137
Hino Do Caloiro; Secreto Desejo; 0.4105
